,price,title,stars,vote
0,6000,BeautyBio Rose Quartz Roller,4.7,75
1,2800,Kopari Starry Eye Balm,4.0,11
2,7200,StriVectin SuperC Brighten  and  Correct Serum,4.6,271
3,5900,Skin Gym Rose Quartz Facial Workout Set Nordstrom Exclusive USD 92 Value,5.0,1
4,9150,Slip Marble  and  Charcoal Pillowcase  and  Sleep Mask Set USD 139 Value,5.0,2
5,16900,LightStim for Acne LED Light Therapy Device,4.4,29
6,6000,Charlotte Tilbury Magic Eye Rescue Cream,3.9,167
7,2500,iluminage TOUCH Precision Adaptor,0.0,0
8,62500,MZ Skin LightTherapy Golden Facial Treatment Device,0.0,0
9,3500,BeautyBio GloPRO LIP MicroTip Attachment Head,4.8,23
10,5000,Kiehls Since 1851 PowerfulStrength Dark Circle Reducing Vitamin C Eye Serum,4.2,645
11,2400,Mario Badescu Whitening Mask,4.2,45
12,3900,Odacité Blue Aura Cleansing Water,5.0,2
13,19900,BeautyBio Skincares Bestie GloPRO Microneedling Regeneration Tool Set USD 279 Value,4.7,27
14,4500,Suntegrity 5in1 Natural Moisturizing Face Sunscreen Broad Spectrum SPF 30,4.1,9
15,3000,Herbivore Botanicals Jade Facial Roller,4.2,19
16,7500,Peter Thomas Roth 24K Gold Lift  and  Firm HydraGel Eye Patches,4.5,50
17,6500,BeautyStat Universal C Eye Perfector Cream,4.9,26
18,4900,Skin Gym Rose Quartz Workout Set USD 60 Value,3.8,4
19,15000,Dr Dennis Gross Skincare Alpha Beta Peel Extra Strength Formula  60 Applications,4.9,434
20,1700,Mario Badescu Drying Lotion,4.6,474
21,21200,Lancôme Absolue Revitalizing  and  Brightening Rich Cream Face Moisturizer,4.6,23
22,19900,PMD Personal Microderm Pro Device USD 219 Value,4.5,63
23,6900,Skin Gym Face Sculptor,4.3,6
24,4400,Skin Gym Amethyst 2D Textured  and  Smooth Facial Roller,0.0,0
25,4000,Herbivore Botanicals Rose Quartz Facial Roller,4.3,19
26,2400,sara happ The Lip Scrub,4.8,37
27,2400,Squish Beauty Squishkit Beauty Set,0.0,0
